"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/Client/src/app/router/UserRoutes.jsx", "JavaScript JSX", 6, 0, 0, -1, 5
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articlesDetails/pages/ArticleDetail.jsx", "JavaScript JSX", 3, 0, 0, -1, 2
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/api/conversations.api.js", "JavaScript", 0, 40, 0, 8, 48
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/ConversationEmpty.jsx", "JavaScript JSX", 17, 0, 0, 3, 20
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/ConversationHeader.jsx", "JavaScript JSX", 44, 0, 0, 8, 52
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/ConversationItem.jsx", "JavaScript JSX", 77, 0, 0, 14, 91
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/ConversationList.jsx", "JavaScript JSX", 42, 0, 0, 5, 47
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/MessageBubble.jsx", "JavaScript JSX", 50, 0, 0, 5, 55
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/MessageInput.jsx", "JavaScript JSX", 50, 0, 0, 9, 59
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/components/MessageList.jsx", "JavaScript JSX", 49, 0, 0, 6, 55
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/pages/Conversation.jsx", "JavaScript JSX", 148, 0, 0, 33, 181
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/pages/Conversations.jsx", "JavaScript JSX", 59, 0, 0, 13, 72
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/conversations/utils/conversations.utils.js", "JavaScript", 0, 125, 0, 25, 150
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/api/proposals.api.js", "JavaScript", 0, 9, 0, 0, 9
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/pages/Proposals.jsx", "JavaScript JSX", 83, 0, -4, 29, 108
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/pages/ProposalsMessage.jsx", "JavaScript JSX", 170, 0, 0, 28, 198
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/017-create-propositions-troc.cjs", "JavaScript", 0, 15, 0, 2, 17
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/018-create-messages.cjs", "JavaScript", 0, 17, 0, 2, 19
"/Users/loucadaviot/Desktop/studentswap/backend/database/migrations/020-create-propositions-to-messages.cjs", "JavaScript", 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/studentswap/backend/src/models/Messages.js", "JavaScript", 0, 4, 0, 2, 6
"/Users/loucadaviot/Desktop/studentswap/backend/src/models/PropositionTroc.js", "JavaScript", 0, 9, 0, 2, 11
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/conversations/conversations.service.js", "JavaScript", 0, 82, 0, 12, 94
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.controller.js", "JavaScript", 0, 3, 0, 0, 3
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.schema.js", "JavaScript", 0, 23, 0, 5, 28
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/propositionTroc/propositionTroc.service.js", "JavaScript", 0, 159, 26, 32, 217
"Total", "-", 798, 486, 22, 242, 1548
