"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/components/SwipeStack.jsx", "JavaScript JSX", 33, 0, 1, 3, 37
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/pages/Home.jsx", "JavaScript JSX", 67, 0, 0, 10, 77
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/favorites/api/favorites.api.js", "JavaScript", 0, 13, 0, 3, 16
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/api/proposals.api.js", "JavaScript", 0, 29, 0, 10, 39
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/components/ProposalModal.jsx", "JavaScript JSX", 135, 0, 0, 24, 159
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/proposals/pages/Proposals.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"/Users/loucadaviot/Desktop/studentswap/backend/src/models/PropositionTroc.js", "JavaScript", 0, 2, 0, 0, 2
"Total", "-", 235, 44, 1, 51, 331
