"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/notifications/notifications.controller.js", "JavaScript", 73, 0, 10, 83
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/notifications/notifications.routes.js", "JavaScript", 41, 15, 8, 64
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/notifications/notifications.schema.js", "JavaScript", 4, 0, 1, 5
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/notifications/notifications.service.js", "JavaScript", 63, 0, 12, 75
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/reports/reports.controller.js", "JavaScript", 55, 0, 8, 63
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/reports/reports.routes.js", "JavaScript", 42, 16, 9, 67
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/reports/reports.schema.js", "JavaScript", 12, 0, 3, 15
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/reports/reports.service.js", "JavaScript", 100, 0, 16, 116
"/Users/loucadaviot/Desktop/studentswap/backend/src/routes/index.routes.js", "JavaScript", 4, 0, 0, 4
"Total", "-", 394, 31, 67, 492
