"filename", "language", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"/Users/loucadaviot/Desktop/studentswap/Client/src/app/router/UserRoutes.jsx", "JavaScript JSX", 8, 0, 2, -1, 9
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/api/articles.api.js", "JavaScript", 0, 19, 0, 7, 26
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/components/ArticleCard.jsx", "JavaScript JSX", 69, 0, 5, 10, 84
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/components/HomeFilter.jsx", "JavaScript JSX", 21, 0, 0, 3, 24
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/components/SwipeActions.jsx", "JavaScript JSX", 77, 0, 3, 3, 83
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/components/SwipeStack.jsx", "JavaScript JSX", 95, 0, 0, 24, 119
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/articles/pages/Home.jsx", "JavaScript JSX", 75, 0, 0, 17, 92
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/auth/pages/Login.jsx", "JavaScript JSX", 13, 0, 4, 6, 23
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/auth/pages/Register.jsx", "JavaScript JSX", 49, 0, -1, 9, 57
"/Users/loucadaviot/Desktop/studentswap/Client/src/features/villes/api/villes.api.js", "JavaScript", 0, 5, 0, 2, 7
"/Users/loucadaviot/Desktop/studentswap/Client/src/user/layout/UserLayout.jsx", "JavaScript JSX", 144, 0, 0, 7, 151
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/auth/auth.controller.js", "JavaScript", 0, -2, 0, 0, -2
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/auth/auth.service.js", "JavaScript", 0, 14, 0, 0, 14
"/Users/loucadaviot/Desktop/studentswap/backend/src/modules/villes/villes.routes.js", "JavaScript", 0, -1, 0, 0, -1
"Total", "-", 551, 35, 13, 87, 686
